area,metric,before,current,source,measured_at,owner,sample_window,status,evidence,target,gap
UX,responsive and interaction contract,Unknown,"16/16 Brave QA cases; 0 failures/setup/cleanup errors; loopback home/robots/sitemap 200 and missing path 404","%TEMP%/flowhome-browser-qa-2026-07-29T23-55-24-563Z/report.json",2026-07-29,UX owner (unassigned),"16 cases across 5 viewport widths including anonymous save, direct CTA, consent events, and 4 loopback HTTP checks",technically_tested,"Verified final local browser report with 200/200/200/404 status checks",Repeatable pass with representative route and viewport coverage,No formal user validation or deployed-host evidence
reliability,automated local quality gates,Unknown,"203/203 tests; lint PASS; typecheck 0 errors/0 warnings; build 87 pages; seo audit 0 errors/0 warnings","Final local gates (2026-07-29; Block 4)",2026-07-29,Engineering owner (unassigned),One final local verification run,technically_tested,"npm.cmd test; lint; typecheck; build; seo:audit; links:check; audit --omit=dev; diff-check (2026-07-29)",Repeatable local gates with recorded output,No remote CI run evidence observed in this block
conversion,GA4 all-users sessions and engaged sessions,Unknown,"15 sessions / 10 engaged sessions","docs/ORGANIC_GROWTH_RUNBOOK.md:14-18; data/organic-growth-scorecard.csv",2026-07-16/17,Analytics owner (unassigned),GA4 7-day window; all users,time_volume_dependent,"data/organic-growth-scorecard.csv; docs/ORGANIC_GROWTH_RUNBOOK.md:55-58",Comparable 90-day windows with consent-safe events,Insufficient volume for a conversion conclusion
technical_seo,external search exposure,Unknown,"96 impressions / 0 clicks / average position 39.8","docs/ORGANIC_GROWTH_RUNBOOK.md:14-18; data/organic-growth-scorecard.csv",2026-07-16/17,Growth owner (unassigned),GSC sitewide 7-day window,externally_blocked,data/organic-growth-scorecard.csv,Comparable indexed-page and query evidence,No current external export in this block
editorial_eeat,editorial and decision contracts,Unknown,Technically tested; user validation Unknown,"docs/P2_COMPLETION_REPORT.md:7; docs/REMAINING_WORK_PROMPTS.md:30-31",2026-07-29,Editorial owner (unassigned),Local contract tests; no user sample,technically_tested,"docs/P2_COMPLETION_REPORT.md:7; docs/REMAINING_WORK_PROMPTS.md:30-31",Documented useful-page updates with review evidence,No user validation or outcome claim
geo,country-specific organic evidence,Unknown,Unknown,"docs/ORGANIC_GROWTH_RUNBOOK.md:68-72",2026-07-29,Growth owner (unassigned),No Canada/OneLink account and country export in this block,externally_blocked,"docs/ORGANIC_GROWTH_RUNBOOK.md:68-72",Separate US and Canada comparable windows,Missing country data and account coverage
acquisition,Bing search exposure and CTR,Unknown,"45 impressions / 1 click / 2.22% CTR","docs/ORGANIC_GROWTH_RUNBOOK.md:14-18; data/organic-growth-scorecard.csv",2026-07-16/17,Growth owner (unassigned),Bing 7-day window,time_volume_dependent,data/organic-growth-scorecard.csv,Repeatable source-specific trend across comparable windows,Single click is insufficient for a directional claim
catalog_deals,Amazon affiliate clicks,Unknown,"0 affiliate clicks; 30-day context 26 clicks","docs/ORGANIC_GROWTH_RUNBOOK.md:14-18; data/organic-growth-scorecard.csv",2026-07-16/17,Commercial owner (unassigned),Amazon 7-day window with 30-day context,time_volume_dependent,data/organic-growth-scorecard.csv,Source-separated click and offer freshness series,No current offer/conversion outcome or sufficient volume
trends,trend validation,Unknown,Unknown,"docs/ORGANIC_GROWTH_RUNBOOK.md:46-58",2026-07-29,Editorial owner (unassigned),Requires comparable 2-4 week windows,time_volume_dependent,"docs/ORGANIC_GROWTH_RUNBOOK.md:46-58",At least two comparable windows plus documented seasonality,No follow-up window in this block
analytics,consent-safe measurement outcome,Unknown,Unknown,"docs/REMAINING_WORK_PROMPTS.md:42-44; docs/ORGANIC_GROWTH_RUNBOOK.md:67",2026-07-29,Analytics owner (unassigned),No production activation evidence,externally_blocked,"docs/REMAINING_WORK_PROMPTS.md:42-44",Events fire once without PII and respect consent states,External account permissions and activation are pending
automation,remote CI execution evidence,Unknown,Unknown,"docs/DEPENDENCY_SECURITY.md:25-40",2026-07-29,Engineering owner (unassigned),Workflow configured; no remote run observed,externally_blocked,"docs/DEPENDENCY_SECURITY.md:25-40",Recorded successful remote quality run,No remote run evidence observed in this block
trust_privacy,dependency production audit,Unknown,0 vulnerabilities,"docs/DEPENDENCY_SECURITY.md:5-23",2026-07-29,Security owner (unassigned),Local npm audit --omit=dev run,implemented,"docs/DEPENDENCY_SECURITY.md:20-23",Maintain zero production audit findings and consent-safe boundaries,No external privacy review evidence
performance,local Lighthouse and build evidence,Unknown,"3-sample local medians pass: home 98/96/100/100 LCP 1764.683ms CLS 0 TBT 0; product/review/compare also pass","%TEMP%/flowhome-lighthouse-2026-07-30T00-06-39-646Z/summary.json",2026-07-29,Engineering owner (unassigned),"3 complete mobile/default-throttling samples per representative route; external HTTPS blocked",technically_tested,"docs/SEO_PERFORMANCE_AUDIT.md; docs/BLOCK4_COMPLETION_REPORT.md",Repeatable local median gates: 90/95/95/95 and LCP/CLS/TBT,No field CWV or deployed performance evidence
accessibility,minimum control target and local lab checks,Unknown,"Lighthouse accessibility medians 96/96/100/100; 44px checks pass; formal WCAG Unknown","%TEMP%/flowhome-lighthouse-2026-07-30T00-06-39-646Z/summary.json; docs/P2_COMPLETION_REPORT.md:24",2026-07-29,Accessibility owner (unassigned),"3 complete local Lighthouse samples per representative route; final browser QA",technically_tested,"docs/SEO_PERFORMANCE_AUDIT.md; docs/P2_COMPLETION_REPORT.md:24",Formal WCAG review and representative assistive-technology validation,No formal WCAG or assistive-technology assessment
